volume,price,datetime
30146.4684,468.0,2014-03-31 16:58:26
11878.94289,481.5,2014-04-02 12:58:16
16813.54578,453.0,2014-04-04 11:36:27
23480.31143,456.084,2014-03-31 22:28:54
26330.54918,465.0,2014-04-01 01:54:08
37931.35864,444.999,2014-04-03 16:36:25
15641.66471,482.0,2014-04-02 03:37:36
22972.97642,467.173,2014-03-31 00:07:14
19820.28966,435.002,2014-04-04 02:45:31
22404.05892,443.536,2014-04-03 22:08:37
11400.80335,491.126,2014-04-02 10:38:05
32476.75933,430.0,2014-04-02 22:39:09
16644.16367,491.026,2014-04-01 10:04:43
13159.75914,472.0,2014-04-02 14:43:24
25979.44717,466.0,2014-04-01 02:39:13
34508.36116,434.257,2014-04-03 04:09:42
24080.68758,464.423,2014-03-30 23:32:11
16414.84586,487.0,2014-04-01 18:51:50
33174.26855,423.687,2014-04-03 01:29:24
26154.87031,456.78,2014-03-31 21:08:46
32965.60834,438.0,2014-04-02 21:39:03
35084.50422,421.021,2014-04-03 06:14:55
19482.20376,436.022,2014-04-04 03:35:36
21196.28559,437.412,2014-04-04 00:40:16
21581.2858,469.416,2014-03-31 00:47:16
16861.9011,484.0,2014-04-01 10:54:47
32377.54963,422.77,2014-04-03 00:44:21
28376.4145,456.99,2014-03-31 18:58:36
26893.05971,447.3,2014-04-02 19:03:45
13982.57854,479.01,2014-04-02 07:57:55
35013.69252,426.224,2014-04-03 04:49:47
23052.35103,464.112,2014-03-31 00:02:14
18817.16598,479.101,2014-04-01 23:32:19
34326.51884,427.97,2014-04-03 03:54:41
33335.54974,432.04,2014-04-02 20:59:00
28387.22025,457.989,2014-03-31 19:03:36
22356.53006,433.0,2014-04-04 06:30:56
22677.3286,447.869,2014-04-03 20:38:26
16464.13038,483.003,2014-04-01 15:40:08
31395.16005,433.51,2014-04-02 23:34:13
19985.05625,438.446,2014-04-04 02:25:28
24200.45203,469.27,2014-03-30 22:32:05
35351.93571,420.21,2014-04-03 06:54:59
12553.23642,467.0,2014-04-02 14:08:20
26006.09786,461.29,2014-04-01 00:39:02
32857.63912,434.343,2014-04-02 21:24:02
34023.00937,421.104,2014-04-03 03:09:36
16700.28635,486.32,2014-04-01 12:34:54
22175.55675,481.005,2014-03-31 02:52:26
20637.92379,438.44,2014-04-04 00:55:19
33093.0809,430.009,2014-04-02 20:23:57
18735.39916,482.001,2014-04-01 23:07:15
21709.21926,467.916,2014-03-31 00:37:15
21853.92718,444.17,2014-04-03 23:23:47
19079.67518,432.582,2014-04-04 04:55:46
12543.10356,482.843,2014-04-02 08:47:57
38041.13854,414.999,2014-04-03 08:10:05
23726.53824,457.57,2014-03-31 23:13:57
33471.96345,436.0,2014-04-02 20:48:59
17263.84909,446.926,2014-04-04 14:41:55
33691.20296,419.2,2014-04-03 02:44:33
15358.39149,490.0,2014-04-01 09:34:40
21898.70427,478.0,2014-03-31 01:32:21
19489.15091,438.2,2014-04-04 03:15:35
29333.23326,444.509,2014-04-03 18:46:38
32302.50471,430.414,2014-04-02 22:54:10
24008.1869,460.0,2014-03-31 23:38:59
34791.05732,464.415,2014-03-31 13:13:10
30425.78911,435.216,2014-04-02 19:53:53
31620.81557,433.25,2014-04-03 00:14:18
14034.12827,479.9,2014-04-02 08:02:54
33990.3845,426.789,2014-04-03 03:04:36
31460.3343,437.204,2014-04-02 23:49:16
16641.79754,488.999,2014-04-01 17:30:38
36861.57271,438.99,2014-04-03 15:30:52
19548.07057,437.0,2014-04-04 03:25:35
22186.00872,480.0,2014-03-31 03:02:26
30606.26549,430.656,2014-04-02 19:58:54
29290.7891,462.006,2014-03-31 17:53:30
19837.60088,436.856,2014-04-04 02:40:30
17095.67546,485.548,2014-04-01 21:22:03
22299.10017,470.99,2014-03-31 00:22:15
30185.61086,436.741,2014-04-02 19:48:53
25964.56677,455.6,2014-03-31 21:33:47
35027.1387,425.169,2014-04-03 04:54:47
18703.96777,479.195,2014-04-01 23:57:21
31617.88885,436.8,2014-04-03 00:09:18
16432.38924,483.003,2014-04-01 15:45:08
21624.95331,469.112,2014-03-31 00:52:17
18937.78762,431.458,2014-04-04 04:30:43
28279.25788,460.784,2014-03-31 19:38:38
12244.68586,472.1,2014-04-02 13:58:20
22506.93681,444.947,2014-04-03 21:03:30
20195.97703,442.35,2014-04-04 02:00:27
16434.53045,483.873,2014-04-01 14:20:01
33854.55885,422.999,2014-04-03 02:54:33
22227.03132,482.983,2014-03-31 02:27:23
11880.03982,481.0,2014-04-02 13:43:19
34953.12179,426.887,2014-04-03 05:24:50
27553.66131,441.0,2014-04-02 19:08:46
33947.8948,462.41,2014-03-31 14:28:16
19593.16303,437.746,2014-04-04 03:00:32
23798.76761,463.679,2014-03-30 23:37:11
16362.7267,488.1,2014-04-01 19:51:53
31934.12398,429.196,2014-04-03 00:29:18
19539.17925,438.494,2014-04-04 03:10:33
