Date,Open,High,Low,Close,Volume,Adj Close
2000-04-12,452.66,452.66,452.66,452.66,1000000,452.66
2000-04-13,449.229,449.229,449.229,449.229,1000000,449.229
2000-04-14,449.0,449.0,449.0,449.0,1000000,449.0
2000-04-15,450.57,450.57,450.57,450.57,1000000,450.57
2000-04-16,452.099,452.099,452.099,452.099,1000000,452.099
2000-04-17,452.339,452.339,452.339,452.339,1000000,452.339
2000-04-18,453.94,453.94,453.94,453.94,1000000,453.94
2000-04-19,452.32,452.32,452.32,452.32,1000000,452.32
2000-04-20,455.5,455.5,455.5,455.5,1000000,455.5
2000-04-21,458.03,458.03,458.03,458.03,1000000,458.03
2000-04-22,456.14,456.14,456.14,456.14,1000000,456.14
2000-04-23,456.001,456.001,456.001,456.001,1000000,456.001
2000-04-24,456.75,456.75,456.75,456.75,1000000,456.75
2000-04-25,456.815,456.815,456.815,456.815,1000000,456.815
2000-04-26,457.046,457.046,457.046,457.046,1000000,457.046
2000-04-27,457.485,457.485,457.485,457.485,1000000,457.485
2000-04-28,454.599,454.599,454.599,454.599,1000000,454.599
2000-04-29,454.0,454.0,454.0,454.0,1000000,454.0
2000-04-30,453.99,453.99,453.99,453.99,1000000,453.99
2000-05-01,452.811,452.811,452.811,452.811,1000000,452.811
2000-05-02,454.21,454.21,454.21,454.21,1000000,454.21
2000-05-03,455.546,455.546,455.546,455.546,1000000,455.546
2000-05-04,455.0,455.0,455.0,455.0,1000000,455.0
2000-05-05,454.175,454.175,454.175,454.175,1000000,454.175
2000-05-06,454.175,454.175,454.175,454.175,1000000,454.175
2000-05-07,455.93,455.93,455.93,455.93,1000000,455.93
2000-05-08,455.0,455.0,455.0,455.0,1000000,455.0
2000-05-09,454.936,454.936,454.936,454.936,1000000,454.936
2000-05-10,454.498,454.498,454.498,454.498,1000000,454.498
2000-05-11,454.432,454.432,454.432,454.432,1000000,454.432
2000-05-12,452.58,452.58,452.58,452.58,1000000,452.58
2000-05-13,452.0,452.0,452.0,452.0,1000000,452.0
2000-05-14,453.0,453.0,453.0,453.0,1000000,453.0
2000-05-15,451.99,451.99,451.99,451.99,1000000,451.99
2000-05-16,453.996,453.996,453.996,453.996,1000000,453.996
